date,77491_32247,77495_32247,77500_32247,77500_32252,77504_32234,77504_32238,77504_32243,77504_32247,77504_32252,77509_32238,77509_32243,77509_32247,77509_32252,77513_32243,77513_32247,77513_32252,77513_32256,77513_32261,77518_32252,77518_32256,77518_32261,77518_32265,77522_32234,77522_32238,77522_32256,77522_32261,77522_32265,77522_32270,77527_32234,77527_32238,77527_32243,77527_32247,77527_32265,77527_32270,77527_32274,77527_32279,77527_32283,77531_32234,77531_32238,77531_32243,77531_32247,77531_32252,77531_32256,77531_32261,77531_32265,77531_32270,77531_32274,77531_32279,77531_32283,77531_32288,77536_32234,77536_32247,77536_32252,77536_32256,77536_32261,77536_32265,77536_32270,77536_32274,77536_32279,77536_32283,77536_32288,77540_32229,77540_32234,77540_32270,77540_32274,77540_32279,77540_32283,77540_32288,77545_32274,.geo
2021_05_10,70,69,69,71,73,69,69,69,71,69,69,69,71,66,69,69,65,73,69,65,65,73,57,66,65,60,67,77,57,57,66,66,67,77,78,68,68,57,51,60,66,60,60,60,67,63,63,68,68,47,57,61,60,60,67,63,63,63,68,68,47,57,51,63,63,66,68,52,59,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_11,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,81,-11000,-11000,-11000,78,80,-11000,73,77,78,73,73,69,69,81,-11000,70,64,70,58,51,75,76,70,64,-11000,-11000,-11000,-11000,-11000,61,76,-11000,-11000,75,70,-11000,-11000,-11000,56,47,-11000,-11000,-11000,-11000,-11000,-11000,68,75,64,56,56,-11000,-11000,68,59,65,66,35,59,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_12,52,-11000,-11000,-11000,67,65,-11000,-11000,-11000,65,-11000,-11000,-11000,-11000,-11000,-11000,-11000,64,-11000,-11000,64,-11000,61,62,-11000,-11000,-11000,44,55,50,-11000,49,-11000,-11000,-11000,-11000,32,38,50,50,49,-11000,44,-11000,-11000,-11000,-11000,-11000,32,32,38,54,-11000,-11000,-11000,46,-11000,-11000,-11000,32,32,45,38,-11000,-11000,-11000,32,65,52,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_13,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_14,75,75,75,75,74,75,74,74,75,75,74,75,75,75,76,75,76,78,75,76,76,75,71,70,75,76,74,75,65,62,70,75,74,75,72,62,59,64,68,69,75,68,69,75,74,72,72,63,59,25,64,69,68,67,69,72,65,70,63,59,25,60,68,65,67,62,63,61,70,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_15,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_16,75,76,76,73,75,76,74,76,77,76,74,77,77,75,75,77,74,79,77,74,74,70,68,78,74,81,70,70,64,60,72,72,73,65,67,70,54,63,67,69,72,67,67,81,73,65,64,63,63,36,63,74,67,65,70,70,68,73,64,63,36,63,73,68,73,64,65,65,60,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_17,69,71,71,68,72,72,71,71,73,72,70,71,73,70,69,73,73,70,73,73,70,70,68,68,73,70,70,71,63,67,69,68,60,60,50,28,27,64,67,67,68,68,57,57,60,60,50,28,27,0,64,68,68,57,57,60,60,50,53,27,0,64,64,60,64,53,53,0,64,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_18,70,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,78,-11000,-11000,68,76,-11000,-11000,74,-11000,-11000,76,73,-11000,-11000,-11000,80,62,63,57,50,-11000,-11000,70,52,68,75,19,59,67,64,-11000,58,78,80,70,72,35,54,48,0,59,72,58,58,78,72,72,72,70,48,0,64,63,72,63,56,68,35,62,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
2021_05_19,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,-11000,"{""type"":""Point"",""coordinates"":[77.5403295369868,32.22930660599814]}"
